
============================================================================================================================
[KOSPI] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  ※ '평균초과' 는 유니버스 평균 대비, 나머지는 유니버스 **중앙값** 대비다
  축                                보유      건수     평균초과     중앙초과      중앙값       절삭    승률       학습       검증      월CI    양수해
  [KOSDAQ] V PBR ≤0.5 + PER ≤10           250일 ·   591건 · 중앙기준초과 +22.68%p 중앙 +6.00 절삭 +10.97 CI+8.84 양수해 9/10 (평균기준 +3.29)
  [KOSDAQ] V PBR ≤0.8                     120일 · 5,842건 · 중앙기준초과 +11.24%p 중앙 +2.07 절삭 +3.26 CI+8.79 양수해 11/11 (평균기준 -0.01)
  [KOSDAQ] X 120일 -40%↓                   120일 · 4,913건 · 중앙기준초과 +20.18%p 중앙 +0.39 절삭 +1.39 CI+8.66 양수해 10/11 (평균기준 +7.56)
  [KOSDAQ] V PBR ≤0.8 + PER ≤15           120일 · 3,152건 · 중앙기준초과 +10.69%p 중앙 +3.20 절삭 +4.56 CI+8.52 양수해 11/11 (평균기준 -0.55)
  [KOSPI] VLS PBR≤0.8 + 고점-40 + 외인60     250일 · 1,083건 · 중앙기준초과 +15.44%p 중앙 +0.43 절삭 +2.98 CI+8.14 양수해 9/10 (평균기준 +1.59)
  [KOSDAQ] VL PBR≤0.8 + 거래량침체             120일 · 3,683건 · 중앙기준초과 +9.21%p 중앙 +1.96 절삭 +2.68 CI+7.80 양수해 11/11 (평균기준 -1.45)
  [KOSDAQ] F 부채 ≤100 + PBR ≤0.8           120일 · 3,667건 · 중앙기준초과 +9.72%p 중앙 +2.18 절삭 +3.09 CI+7.42 양수해 9/9 (평균기준 +0.39)
  [KOSDAQ] V PBR ≤0.5                     120일 · 2,008건 · 중앙기준초과 +11.77%p 중앙 +2.10 절삭 +3.81 CI+7.32 양수해 11/11 (평균기준 +0.49)
  [KOSDAQ] S 기관 60일 ≥1%                   120일 · 7,641건 · 중앙기준초과 +8.39%p 중앙 +0.03 절삭 +0.98 CI+7.18 양수해 11/11 (평균기준 -3.87)
  [KOSDAQ] V PBR ≤0.3                     250일 ·   240건 · 중앙기준초과 +26.40%p 중앙 +9.02 절삭 +13.19 CI+7.13 양수해 7/10 (평균기준 +6.22)
  [KOSDAQ] VL PBR≤0.8 + 1년 -30%↓          120일 · 2,554건 · 중앙기준초과 +12.36%p 중앙 +1.15 절삭 +1.96 CI+7.00 양수해 9/11 (평균기준 +0.51)
  [KOSDAQ] VL PBR≤0.8 + 고점 -40%↓          120일 · 2,796건 · 중앙기준초과 +12.43%p 중앙 +1.84 절삭 +2.51 CI+6.97 양수해 11/11 (평균기준 +0.64)
  [KOSPI] VL PBR≤0.8 + 고점 -40%↓          250일 · 1,657건 · 중앙기준초과 +14.62%p 중앙 +1.28 절삭 +3.77 CI+6.91 양수해 9/10 (평균기준 -0.09)
  [KOSPI] VLF PBR≤0.8 + 고점-40 + 부채≤100   250일 ·   726건 · 중앙기준초과 +12.67%p 중앙 +1.54 절삭 +2.87 CI+6.84 양수해 7/8 (평균기준 -1.50)
  [KOSDAQ] V PBR ≤0.3                     120일 ·   383건 · 중앙기준초과 +13.04%p 중앙 +3.32 절삭 +4.57 CI+6.83 양수해 8/11 (평균기준 +1.83)
  [KOSPI] VL PBR≤0.5 + 고점 -40%↓          250일 ·   972건 · 중앙기준초과 +21.21%p 중앙 +5.79 절삭 +9.01 CI+6.77 양수해 9/10 (평균기준 +5.30)
  [KOSPI] V PBR ≤0.5                     120일 · 3,819건 · 중앙기준초과 +9.38%p 중앙 +2.07 절삭 +3.39 CI+6.71 양수해 11/11 (평균기준 +1.27)
  [KOSPI] V PBR ≤0.8 + PER ≤15           120일 · 4,717건 · 중앙기준초과 +7.77%p 중앙 +1.73 절삭 +2.54 CI+6.51 양수해 11/11 (평균기준 +0.03)
  [KOSPI] V PBR ≤1.2                     120일 · 9,832건 · 중앙기준초과 +7.46%p 중앙 +0.31 절삭 +1.14 CI+6.50 양수해 11/11 (평균기준 -0.08)
  [KOSPI] V PBR ≤0.5 + PER ≤10           120일 · 2,277건 · 중앙기준초과 +9.08%p 중앙 +3.02 절삭 +3.94 CI+6.33 양수해 11/11 (평균기준 +0.83)
  [KOSPI] V PBR ≤0.8                     120일 · 7,158건 · 중앙기준초과 +7.41%p 중앙 +1.22 절삭 +1.86 CI+6.27 양수해 11/11 (평균기준 -0.23)
  [KOSPI] V PBR ≤0.3                     120일 · 1,125건 · 중앙기준초과 +11.07%p 중앙 +3.71 절삭 +5.08 CI+6.07 양수해 9/11 (평균기준 +1.50)
