F,date,ticker,name,grp,r,y
3번 폭락반등,20200316,001820,삼화콘덴서,생존,21.335817694369968,2020
3번 폭락반등,20200319,001820,삼화콘덴서,생존,39.78973125884018,2020
3번 폭락반등,20241113,001820,삼화콘덴서,생존,-7.440283687943258,2024
3번 폭락반등,20241115,001820,삼화콘덴서,생존,0.4235381750465592,2024
3번 폭락반등,20241120,001820,삼화콘덴서,생존,2.879398496240607,2024
3번 폭락반등,20180703,002020,코오롱,생존,6.741550591327209,2018
3번 폭락반등,20260722,002020,코오롱,생존,3.229465020576142,2026
3번 폭락반등,20260723,002020,코오롱,생존,-11.42074074074074,2026
3번 폭락반등,20200319,002210,동성제약,생존,68.92298507462685,2020
3번 폭락반등,20200324,002210,동성제약,생존,16.765005257623557,2020
3번 폭락반등,20200325,002210,동성제약,생존,15.46202898550725,2020
3번 폭락반등,20181030,002360,SH에너지화학,생존,10.707982832618015,2018
3번 폭락반등,20190801,002360,SH에너지화학,생존,3.080396039603964,2019
3번 폭락반등,20200319,002360,SH에너지화학,생존,74.90740157480315,2020
3번 폭락반등,20220927,002460,HS화성,생존,-10.52959349593496,2022
3번 폭락반등,20220704,002780,진흥기업,생존,5.095075987841949,2022
3번 폭락반등,20181119,002790,아모레퍼시픽홀딩스,생존,9.160059347181006,2018
