ticker,shares,equity,as_of
024950,13273577,97286482964,20260415
025000,4378709,699660199893,20260415
025320,87733546,178307140375,20260415
025440,48781224,67312349196,20260415
025530,14934008,184539672151,20260415
025540,10115000,958895171000,20260415
025550,25514004,137757205838,20260415
025560,4482654,142746838918,20260415
025620,18203973,80698855551,20260415
025750,80565149,103418571077,20260415
025770,37444271,346611029000,20260415
025820,33442000,165863934078,20260415
025860,49678843,553116352825,20260415
025870,4000000,14392400674,20260415
025880,16715858,77491398458,20260415
025890,11309259,33443639052,20260415
025900,50557285,874467544112,20260415
025950,8400000,97322892843,20260415
025980,94699536,521859963487,20260415
026040,16503790,53212577389,20260415
026150,17546331,89689901221,20260415
026180,59537195,40051497319,20190415
026890,41678175,231745475564,20260415
026910,6405405,21736926166,20260415
026940,20000000,130556039582,20260415
026960,99700000,1717958775922,20260415
027040,69588847,6944072568,20260415
027050,40000000,84133691246,20260415
027360,121145406,271127693796,20260415
027390,6000133,123348547673,20210415
027410,95716791,1619536883214,20260415
027580,59181279,38091194535,20260415
027710,111416600,236513704817,20260415
027740,63511228,38790819994,20260415
027830,54000000,101666036418,20260415
027970,190178237,359812582757,20260415
028040,44979502,16222027651,20200414
028050,196000000,3585054346739,20260415
028080,12577506,80947607689,20260415
028100,13389502,221905100639,20260415
028150,6562500,1238370835065,20210415
028260,169976544,99120679505617,20260415
028300,132734247,923279626862,20260415
028670,534569512,6220026000000,20260415
029460,13231263,733041589144,20260415
029480,61879864,243450886234,20260415
029530,10080029,1086455342300,20260415
029780,115858891,8864197000000,20260415
029960,48580720,155494600554,20260415
030000,115041225,490628445197,20260415
030190,58911527,445403759256,20260415
030200,252021685,16000185000000,20260415
030210,60911106,689227429777,20260415
030270,7562701,14904128007,20200414
030350,15592079,6256859812,20260415
030520,24179744,407491786622,20260415
030530,77237981,632132794488,20260415
030610,113962961,2240633642000,20260415
030720,4653805,67281264979,20260415
030790,27248145,6991076126,20230415
030960,15980000,188169295596,20260415
031210,69821598,4993700838717,20260415
031310,26355043,133562541631,20260415
031330,99995067,426596305750,20260415
031390,12503685,113241939799,20210415
031430,35343000,748535333285,20260415
031440,3872480,362603484760,20260415
031510,28000000,84140881959,20260415
031820,121051466,173739909869,20260415
031860,18985423,20343182382,20260415
031980,21562395,327593390243,20260415
032040,14913968,41194288784,20260415
032080,21491029,109038263860,20260415
032190,38300000,215891020453,20260415
032280,16213590,64922630338,20260415
032300,10906701,73618960924,20260415
032350,79539484,61270369320,20260415
032500,40930109,139742984466,20260415
032540,13931609,70889436934,20260415
032560,17000000,269318699306,20260415
032580,33132064,58970680112,20260415
032620,52197139,132242618401,20260415
032640,429828355,9131782000000,20260415
032680,105590764,29989433971,20260415
032750,9031122,108051851442,20260415
032790,51360212,33962903953,20260415
032800,45957058,48988832359,20260415
032820,166756790,191421484470,20260415
032830,200000000,137861615000000,20260415
032850,16623293,72627813202,20260415
032860,40395863,50862387832,20260415
032940,18193230,133305980513,20260415
032960,3518595,69797711109,20260415
032980,30388995,20226986493,20260415
033050,32579342,53755034324,20260415
033100,16062409,247761922548,20260415
033110,129772391,1096332269,20210415
033130,37115267,95817730129,20260415
033160,22596480,167323344488,20260415
033170,85728319,45557346261,20260415
033180,26020020,441347228218,20260415
033200,14331185,60275974894,20260415
033230,50515380,89687885536,20260415
033240,21756636,507414054096,20260415
033250,32000000,48845824518,20260415
033270,16333822,497115280426,20260415
033290,56156301,399880765850,20260415
033310,40342231,149594927157,20260415
033320,19114432,90322740579,20260415
033340,96950558,53307462135,20260415
033430,73956044,12835159252,20260415
033500,29989494,288546798928,20260415
033530,27820961,429638519704,20260415
033540,37751063,101240300628,20260415
033560,17100000,172806778209,20260415
033600,36363818,4001823487,20210415
033640,23059202,107422683255,20260415
033660,74757594,1883290956636,20260415
033780,117976645,7816513000000,20260415
033790,68037321,180469215734,20260415
033830,100000000,130562566552,20260415
033920,28500000,615792795179,20260415
034020,640561146,6233678000000,20260415
034120,18551238,724432934790,20260415
034220,500000000,2878447000000,20260415
034230,92405559,1267751422987,20260415
034300,7760554,223989687437,20260415
034310,36757157,245673200404,20260415
034590,4374754,243194430025,20260415
034730,73068838,16624717000000,20260415
034810,32556857,511598417504,20260415
034830,252489230,894342681855,20260415
034940,30979827,34418415638,20260415
034950,4540514,108977006019,20260415
035000,16207644,170489933175,20260415
035080,13676598,524876756504,20260415
035150,20558867,258481601893,20260415
035200,9730590,34782080999,20260415
035250,213940500,3891241492285,20260415
035290,23838240,13396782503,20260415
035420,156852638,16729522420652,20260415
035460,14577340,33996079394,20260415
035480,9105814,20266708844,20210415
035510,13980900,447070743759,20260415
035600,27554434,400901822290,20260415
035610,27345997,119163886721,20260415
035620,74439675,60621124700,20260415
035720,442495220,7976071999239,20260415
035760,21929154,2453781957548,20260415
035810,64516185,328779342219,20260415
035890,229808457,1274197940711,20260415
035900,35532492,606782681878,20260415
036000,23034277,264751013989,20260415
036010,13292934,118647292736,20260415
036030,49019283,311522402072,20260415
036090,118392284,118111553435,20260415
036120,35500000,35712445426,20260415
036170,61365626,139144333919,20260415
036180,93464524,15047847882,20250415
036190,6000000,364440654645,20260415
036200,30664223,246440895142,20260415
036220,14509416,279550649384,20260415
036260,43778171,3899758132,20210415
036420,19262308,608707318760,20260415
036460,92313000,8633768000000,20260415
036480,3800000,34491416728,20260415
036490,10547673,339610965737,20210415
036530,16303886,599520964969,20260415
036540,164460303,379583174164,20260415
036560,15750000,503412367862,20260415
036570,21544022,3664848774514,20260415
036580,36727943,312822258330,20260415
036620,90503771,128821296427,20260415
036630,10000000,164841957097,20260415
036640,16354800,134864651340,20260415
036670,11270000,128213548538,20260415
036690,15904938,32552125303,20260415
036710,52827754,280311852643,20260415
036800,10000000,388366349227,20260415
036810,21956348,252145552329,20260415
036830,20964056,1568388732544,20260415
036890,22032623,300163202479,20260415
036930,47268321,590638031540,20260415
037030,25199918,140221956454,20260415
037070,20000000,81595152076,20260415
037230,29800327,111639463207,20260415
037270,63663110,160121434392,20260415
