date,ticker,name,grp,y,sret60,r
20190808,011690,와이투솔루션,생존,2019,-13.5197025959974,14.40441558441559
20190806,011760,현대코퍼레이션,생존,2019,-15.801133087044958,11.544242424242427
20200319,011760,현대코퍼레이션,생존,2020,-51.92734120917274,94.5874220963173
20200401,011810,STX,생존,2020,-39.01413334401045,26.13676495366471
20181030,011930,신성이엔지,생존,2018,-16.246385933803285,4.0086792452830124
20241112,011930,신성이엔지,생존,2024,-14.834464455437194,-9.472471358428809
20260730,0120G0,삼양바이오팜,생존,2026,,59.82381231671553
20181030,012280,영화금속,생존,2018,-18.74327782832683,9.439469026548668
20200312,012280,영화금속,생존,2020,-20.28029094637492,58.5138775510204
20220623,012280,영화금속,생존,2022,-21.18811369593,22.317267759562846
20200313,012510,더존비즈온,폐지,2020,,2.0465644955300037
20200319,012510,더존비즈온,폐지,2020,,54.851560891938256
20240805,012510,더존비즈온,폐지,2024,,12.381904761904751
20200312,012610,경인양행,생존,2020,-15.659720467998138,1.993796791443861
20200313,012610,경인양행,생존,2020,-22.26160970383949,14.690370370370367
20200316,012610,경인양행,생존,2020,-24.625120540321465,40.26074074074075
20180703,012690,모나리자,생존,2018,,-3.4240392706872367
20200326,012800,대창,생존,2020,-32.30229723339031,15.475653128430306
20200316,013000,세우글로벌,생존,2020,-24.625120540321465,36.38235741444868
20190805,013870,지엠비코리아,생존,2019,-14.138504691094067,20.900924855491336
20190806,013870,지엠비코리아,생존,2019,-14.630988017772637,21.700371660859457
20220125,014680,한솔케미칼,생존,2022,-11.330685957186363,-7.644957264957261
20220126,014680,한솔케미칼,생존,2022,-11.90322124179728,-7.923103448275867
20220127,014680,한솔케미칼,생존,2022,-14.839275343210378,2.622309468822162
20220128,014680,한솔케미칼,생존,2022,-12.760909341839787,2.622309468822162
20200331,014710,사조씨푸드,생존,2020,-20.701719982496765,27.29337461300309
20220705,014830,유니드,생존,2022,-11.92571565421919,3.2811974580813
20190729,014910,성문전자,생존,2019,-16.713227040809258,4.888601583113465
20190806,014910,성문전자,생존,2019,-15.106563086852036,17.23359773371105
20181025,015260,에이엔피,생존,2018,-18.24369634375999,-7.62362089914945
20181030,015260,에이엔피,생존,2018,-27.547841790500993,16.525643092707956
20200319,015860,일진홀딩스,생존,2020,-49.494361717845244,103.59368421052632
20200325,015860,일진홀딩스,생존,2020,-42.665490143098005,48.31028340080971
20200319,016580,환인제약,생존,2020,-32.47763503037484,34.97023474178405
20200320,016580,환인제약,생존,2020,-27.102524662978823,39.20461538461537
20180622,016880,웅진,생존,2018,,-16.305
20180625,016880,웅진,생존,2018,,-15.283174603174606
20180626,016880,웅진,생존,2018,,-6.940869565217386
20190807,017040,광명전기,생존,2019,-19.096708250575475,15.028791208791219
20190806,017180,명문제약,생존,2019,-23.085024346386664,13.72094745908699
20200331,017550,수산세보틱스,생존,2020,-32.49777299394101,23.272542372881357
20200401,017550,수산세보틱스,생존,2020,-30.942555379414024,23.10373983739837
20200319,017800,현대엘리베이터,생존,2020,-45.630892441035556,73.15326241715081
20200313,017940,E1,생존,2020,-17.8666040429055,-1.918552437223039
20200319,017940,E1,생존,2020,-27.211333974437068,29.661121495327095
20200320,017940,E1,생존,2020,-26.204782662434024,44.23666666666666
20200323,017940,E1,생존,2020,-30.362031428773957,48.82
20200324,017940,E1,생존,2020,-28.930047923694033,34.19832310838447
20200325,017940,E1,생존,2020,-25.826929902934012,30.858834951456316
20200326,017940,E1,생존,2020,-23.673140463089805,20.74028985507246
20200319,017960,한국카본,생존,2020,-52.84288391889403,39.34333722287048
20181101,018250,애경산업,생존,2018,-30.480117442484463,7.360585774058584
20181102,018250,애경산업,생존,2018,-25.06631559435752,7.620000000000007
20200325,018250,애경산업,생존,2020,-23.175663413231387,31.095700934579444
20211126,019170,신풍제약,생존,2021,-16.40282510696646,-11.364308131241083
20220704,019170,신풍제약,생존,2022,-18.81909251416244,27.308787185354703
20200317,019680,대교,생존,2020,,26.293684210526305
20260804,020000,한섬,생존,2026,-17.72360545494796,-4.061642512077299
20260805,020000,한섬,생존,2026,-17.655143495787126,-2.3394960049170272
20200312,020150,롯데에너지머티리얼즈,생존,2020,-17.9381474949282,0.17555555555555358
