종목코드,회사명,시장구분,상장일
248170,샘표식품,유가,2016-08-09
191600,블루탑,코넥스,2016-08-05
016740,두올,유가,2016-07-29
208860,다산디엠씨,코스닥,2016-07-28
073560,우리손에프앤지,코스닥,2016-07-27
073560,우리손에프앤지,코스닥,2016-07-27
212310,오건에코텍,코넥스,2016-07-26
123010,MSDI,코스닥,2016-07-20
066830,제노텍,코넥스,2016-07-18
026960,동서,유가,2016-07-15
123890,한국자산신탁,유가,2016-07-13
034830,한국토지신탁,유가,2016-07-11
142760,모아라이프플러스,코스닥,2016-07-07
237750,피앤씨테크,코스닥,2016-07-04
900260,로스웰,코스닥,2016-06-30
245450,씨앤에스링크,코넥스,2016-06-24
195870,해성디에스,유가,2016-06-24
237690,에스티팜,코스닥,2016-06-23
144510,지씨셀,코스닥,2016-06-23
148250,알엔투테크놀로지,코스닥,2016-06-22
208850,이비테크,코넥스,2016-06-22
239340,이스트에이드,코스닥,2016-06-09
243070,휴온스,코스닥,2016-06-03
244880,나눔테크,코넥스,2016-06-01
244880,나눔테크,코넥스,2016-06-01
112190,KC산업,코넥스,2016-05-31
070960,모나용평,유가,2016-05-27
101530,해태제과식품,유가,2016-05-11
240810,원익IPS,코스닥,2016-05-02
238500,솔루믹스,코넥스,2016-04-20
228850,레이언스,코스닥,2016-04-11
228340,동양파일,코스닥,2016-04-06
004440,삼일씨엔에스,유가,2016-03-30
222110,팬젠,코스닥,2016-03-11
211270,AP위성,코스닥,2016-03-04
115180,큐리언트,코스닥,2016-02-29
065660,안트로젠,코스닥,2016-02-15
236200,슈프리마,코스닥,2016-02-05
194370,제이에스코퍼레이션,유가,2016-02-04
142210,유니트론텍,코스닥,2016-02-02
900250,크리스탈신소재,코스닥,2016-01-28
236340,메디젠휴먼케어,코넥스,2016-01-26
206950,볼빅,코넥스,2015-12-30
232530,이엠티,코넥스,2015-12-30
224060,더코디,코스닥,2015-12-29
109610,에스와이,코스닥,2015-12-29
233990,질경이,코넥스,2015-12-29
226320,잇츠한불,유가,2015-12-28
215570,크로넥스,코넥스,2015-12-28
223310,사토시홀딩스,코스닥,2015-12-24
232140,와이씨,코스닥,2015-12-24
191410,육일씨엔에쓰,코스닥,2015-12-24
145020,휴젤,코스닥,2015-12-24
222980,한국맥널티,코스닥,2015-12-23
206560,덱스터,코스닥,2015-12-22
013310,아진산업,코스닥,2015-12-22
047920,HLB제약,코스닥,2015-12-21
217730,강스템바이오텍,코스닥,2015-12-21
234070,에이원큐브텍,코넥스,2015-12-21
133750,메가엠디,코스닥,2015-12-18
225530,HC보광산업,코스닥,2015-12-17
140860,파크시스템스,코스닥,2015-12-17
230240,에치에프알,코스닥,2015-12-16
122640,예스티,코스닥,2015-12-16
222040,코스맥스엔비티,코스닥,2015-12-16
058110,멕아이씨에스,코스닥,2015-12-14
217820,원익피앤이,코스닥,2015-12-07
075580,세진중공업,유가,2015-11-30
221840,하이즈항공,코스닥,2015-11-25
180400,DXVX,코스닥,2015-11-20
221980,케이디켐,코스닥,2015-11-19
212560,네오오토,코스닥,2015-11-18
227950,엔투텍,코스닥,2015-11-18
214370,케어젠,코스닥,2015-11-17
185490,아이진,코스닥,2015-11-16
190510,나무가,코스닥,2015-11-12
056090,시지메드텍,코스닥,2015-11-12
214330,금호에이치티,유가,2015-11-11
089590,제주항공,유가,2015-11-06
226340,본느,코스닥,2015-11-05
217950,파마리서치바이오,코넥스,2015-11-05
092590,럭스피아,코넥스,2015-10-30
229500,노브메타파마,코넥스,2015-10-28
182400,엔케이젠바이오텍코리아,코스닥,2015-10-23
227840,현대코퍼레이션홀딩스,유가,2015-10-23
092870,엑시콘,코스닥,2015-10-22
224810,엄지하우스,코넥스,2015-10-21
200580,메디쎄이,코넥스,2015-10-20
225430,케이엠제약,코스닥,2015-10-08
225590,패션플랫폼,코스닥,2015-10-05
079550,LIG디펜스앤에어로스페이스,유가,2015-10-02
225570,넥슨게임즈,코스닥,2015-09-25
217190,제너셈,코스닥,2015-09-25
219130,타이거일렉,코스닥,2015-09-25
039570,HDC랩스,유가,2015-09-24
002690,동일제강,유가,2015-09-24
175140,아고스,코스닥,2015-09-23
222080,SFA넥셀,코스닥,2015-09-02
224110,에이텍모빌리티,코스닥,2015-08-25
196700,웹스,코스닥,2015-08-24
095570,AJ네트웍스,유가,2015-08-21
131760,파인텍,코스닥,2015-08-17
222800,심텍,코스닥,2015-08-07
189980,흥국에프엔비,코스닥,2015-08-07
222420,쎄노텍,코스닥,2015-08-06
094360,칩스앤미디어,코스닥,2015-08-05
127710,아시아경제,코스닥,2015-07-31
224760,엔에스컴퍼니,코넥스,2015-07-31
214430,아이쓰리시스템,코스닥,2015-07-30
067730,로지시스,코스닥,2015-07-29
222670,플럼라인생명과학,코넥스,2015-07-28
220260,켐트로스,코스닥,2015-07-27
214450,파마리서치,코스닥,2015-07-24
219550,디와이디,코스닥,2015-07-22
087010,펩트론,코스닥,2015-07-22
214320,이노션,유가,2015-07-17
214420,토니모리,유가,2015-07-10
086220,광동헬스바이오,코넥스,2015-07-09
223220,로지스몬,코넥스,2015-07-09
085620,미래에셋생명,유가,2015-07-08
218410,RFHIC,코스닥,2015-06-30
094170,동운아나텍,코스닥,2015-06-30
178780,일월지엠엘,코스닥,2015-06-30
214180,헥토이노베이션,코스닥,2015-06-30
214390,경보제약,유가,2015-06-29
216400,인바이츠바이오코아,코넥스,2015-06-29
166480,코아스템켐온,코스닥,2015-06-26
210980,SK디앤디,유가,2015-06-23
103660,씨앗,코넥스,2015-06-22
103660,씨앗,코넥스,2015-06-22
177350,베셀,코스닥,2015-06-19
217270,넵튠,코스닥,2015-06-18
218150,미래생명자원,코스닥,2015-06-18
160980,싸이맥스,코스닥,2015-06-17
217500,러셀,코스닥,2015-06-16
087600,픽셀플러스,코스닥,2015-06-12
187420,HLB제넥스,코스닥,2015-05-29
217880,틸론,코넥스,2015-05-28
076340,지에이이노더스,코넥스,2015-05-18
215380,콜마바이오텍,코스닥,2015-05-18
215480,토박스코리아,코스닥,2015-05-13
215790,이노인스트루먼트,코스닥,2015-05-08
215360,우리산업,코스닥,2015-05-06
215200,메가스터디교육,코스닥,2015-05-04
217320,썬테크,코넥스,2015-04-29
217320,썬테크,코넥스,2015-04-29
215090,솔디펜스,코스닥,2015-04-28
215100,로보로보,코스닥,2015-04-22
214680,디알텍,코스닥,2015-04-20
195990,루트K,코스닥,2015-04-13
215000,골프존,코스닥,2015-04-03
214150,클래시스,코스닥,2015-04-03
214270,FSN,코스닥,2015-03-25
145210,다이나믹디자인,유가,2015-03-19
145210,다이나믹디자인,유가,2015-03-19
189690,포시에스,코스닥,2015-02-11
213420,덕산네오룩스,코스닥,2015-02-06
213500,한솔제지,유가,2015-01-26
210540,디와이파워,유가,2015-01-15
060480,국일신동,코스닥,2014-12-29
193250,링크드,코스닥,2014-12-29
206640,바디텍메드,코스닥,2014-12-29
208640,썸에이지,코스닥,2014-12-29
200470,에이팩트,코스닥,2014-12-26
200670,휴메딕스,코스닥,2014-12-26
189860,서전기전,코스닥,2014-12-24
067390,아스트,코스닥,2014-12-24
080580,오킨스전자,코스닥,2014-12-24
208350,지란지교시큐리티,코스닥,2014-12-24
208710,포톤,코스닥,2014-12-24
160550,NEW,코스닥,2014-12-23
124500,아이티센글로벌,코스닥,2014-12-23
208890,미래엔에듀파트너,코넥스,2014-12-18
028260,삼성물산,유가,2014-12-18
142280,녹십자엠에스,코스닥,2014-12-17
187220,디티앤씨,코스닥,2014-12-17
208370,셀바스헬스케어,코스닥,2014-12-17
208140,정다운,코스닥,2014-12-17
208140,정다운,코스닥,2014-12-17
149980,하이로닉,코스닥,2014-12-17
084650,랩지노믹스,코스닥,2014-12-16
200710,에이디테크놀로지,코스닥,2014-12-16
200780,비씨월드제약,코스닥,2014-12-15
207760,미스터블루,코스닥,2014-12-12
196170,알테오젠,코스닥,2014-12-12
206400,베노티앤알,코스닥,2014-12-10
140520,대창스틸,코스닥,2014-12-05
173940,에프엔씨엔터,코스닥,2014-12-04
205470,휴마시스,코스닥,2014-12-01
112610,씨에스윈드,유가,2014-11-27
200230,텔콘RF제약,코스닥,2014-11-24
204840,지엘팜텍,코스닥,2014-11-20
204620,글로벌텍스프리,코스닥,2014-11-19
196490,디에이테크놀로지,코스닥,2014-11-19
018260,삼성에스디에스,유가,2014-11-14
149010,아이케이세미콘,코넥스,2014-11-14
205500,넥써쓰,코스닥,2014-11-12
205100,엑셈,코스닥,2014-11-07
191420,테고사이언스,코스닥,2014-11-06
192440,슈피겐코리아,코스닥,2014-11-05
143540,영우디에스피,코스닥,2014-10-29
121060,유니포인트,코넥스,2014-10-24
203650,드림시큐리티,코스닥,2014-10-13
041920,메디아나,코스닥,2014-10-07
204320,HL만도,유가,2014-10-06
194480,데브시스터즈,코스닥,2014-10-06
192410,오늘이엔엠,코스닥,2014-08-14
198440,강동씨앤엘,코스닥,2014-08-13
198440,강동씨앤엘,코스닥,2014-08-13
202960,판도라티비,코넥스,2014-08-11
200880,서연이화,유가,2014-08-08
187270,신화콘텍,코스닥,2014-08-08
192400,쿠쿠홀딩스,유가,2014-08-06
177830,파버나인,코스닥,2014-08-04
090410,덕신이피씨,코스닥,2014-08-01
004650,창해에탄올,코스닥,2014-07-30
192390,윈하이텍,코스닥,2014-07-25
059120,아진엑스텍,코스닥,2014-07-24
