ticker,ksic
045390,289
045400,26
045470,27216
045510,46510
045520,291
045660,291
045710,64992
045760,58221
045820,61210
045880,26410
045890,284
045920,14112
045970,262
046000,62021
046070,303
046110,63112
046120,7291
046140,591
046210,21301
046240,58221
046310,2642
046320,46510
046350,2622
046390,59120
046400,26
046430,4659
046440,582
046720,2612
046810,26293
046840,75210
046890,2612
046940,421
046970,467
047040,41112
047050,461
047060,30
047080,5821
047310,2812
047370,2642
047400,23222
047420,58221
047440,26211
047450,26321
047560,58221
047600,75210
047610,26
047710,2642
047730,2642
047770,141
047810,31311
047820,59114
047920,70111
047940,1090
048130,46800
048140,28123
048150,2642
048260,27191
048270,5811
048410,204
048430,281
048460,2622
048470,467
048510,29271
048530,211
048540,62021
048550,713
048640,22214
048760,28202
048770,29142
048830,20202
048870,271
048910,467
049000,59201
049070,2642
049080,262
049120,26211
049130,58221
049180,211
049370,59130
049430,27219
049470,582
049480,62021
049520,2629
049550,20413
049630,27309
049690,715
049720,75993
049770,108
049800,292
049830,259
049950,29271
049960,211
050050,26410
050090,713
050110,262
050120,46419
050320,259
050470,71399
050540,75991
050600,263
050640,58221
050760,222
050860,29210
050890,2642
050960,582
051160,58221
051170,29142
051310,41225
051360,265
051370,2622
051380,46510
051390,468
051490,292
051500,4632
051530,59201
051600,42311
051630,22214
051710,26211
051780,472
051810,28302
051820,29271
051900,20422
051910,20111
051980,264
052020,465
052190,901
052210,26410
052220,603
052260,204
052270,262
052290,2629
052300,468
052310,58221
052330,26519
052350,27214
052400,58221
052420,222
052460,620
052510,2049
052560,03112
052600,61299
052640,62021
052650,2642
052670,21230
052690,72129
052710,2629
052770,582
052790,5821
052810,58221
052860,2611
052880,75999
052900,2224
052970,59114
053000,64992
053030,212
053040,204
053050,35200
053060,303
053070,2642
053080,291
053110,631
053160,28123
053170,58221
053200,2812
053210,60229
053250,263
053260,2419
053270,303
053280,4791
053290,5811
053300,58221
053320,46521
053330,29176
053350,58221
053440,29293
053450,273
053470,26410
053580,582
053590,264
053610,29271
053620,25991
053660,25912
053690,72111
053700,303
053740,29271
053800,58221
053810,29271
053870,26429
053890,5811
053950,212
053980,582
054010,2629
054020,26292
054040,2629
054050,01123
054080,2642
054090,339
054120,2811
054150,46510
054170,62021
054180,31114
054210,262
054220,28123
054250,29176
054300,29169
054340,2642
054370,26410
054410,474
054440,29221
054450,2611
054530,72919
054540,2511
054620,64992
054630,339
054650,4659
054670,212
054780,59130
054790,29293
054800,71600
054920,58221
054930,72111
054940,424
054950,29192
055000,58221
055250,291
055490,2229
055550,64992
055810,2642
055970,62090
056000,582
056010,263
056020,27199
056060,2642
056080,292
056090,27192
056140,26410
056190,292
056200,58221
056340,2629
056360,26410
056500,263
056700,2229
056710,26410
056730,411
056810,26429
056850,58221
057030,857
057050,47919
057100,58221
057110,62021
057330,26293
057500,2629
057540,272
057680,58222
057880,872
058110,271
058220,264
058370,46721
058400,60210
058420,59130
058430,2419
058450,591
058470,2629
058480,24121
058530,63
058550,2642
058610,28111
058630,5821
058650,241
058680,14112
058690,58221
058730,25112
058820,212
058850,63991
058860,63991
058900,58221
058970,582
059090,261
059100,26211
059120,2611
059210,213
059270,259
059720,63991
060000,64121
060150,38230
060230,204
060240,311
060250,661
060260,22211
060280,47812
060300,59112
060310,272
060370,423
060380,241
060410,73901
060480,24221
060540,27215
060550,14120
060560,467
060570,603
060590,212
060660,62021
060670,2811
060720,2629
060750,2642
060850,58221
060900,351
060910,01299
060980,64992
061040,2642
061050,2642
061090,26429
061140,26
061250,212
061460,2221
061970,2612
062040,28112
062580,108
062730,291
062860,2611
062970,26410
063080,582
063160,212
063170,461
063280,58221
063350,2642
063440,182
063510,46800
063570,759
063760,27212
063840,58221
064060,29175
064090,468
064240,467
064260,582
064290,292
064350,31910
064400,62021
064420,20111
064480,58221
064510,292
064520,2612
064550,213
064720,2642
064760,23999
064800,474
064820,31114
064850,639
064900,68119
064960,303
065060,141
065130,29272
065150,463
065160,20501
065170,463
065180,49301
065270,262
065310,15129
065340,26
065350,28519
065370,58221
065410,74100
065420,204
065440,58221
065450,27211
065500,303
065510,27199
065530,61299
065560,181
065570,26429
065610,20202
065620,24123
065650,465
065660,467
065680,2629
065690,221
065710,28123
065770,2642
065810,58221
065910,62021
065940,20132
065950,13219
066060,72129
066110,26329
066130,28519
066200,46521
066270,631
066300,22211
