Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
000060,메리츠화재,KOSPI,주권,보통주,1956-07-02,2023-02-21,지주회사(최대주주등)의 완전자회사화 등,,,보험,500.0,104535112.0,,
096300,베트남개발1,KOSPI,투자회사,보통주,2007-06-13,2023-02-02,해산 사유 발생,,,기타금융,,137680211.0,,
71901B96,KB 와이즈 스타 부동산 자 2 A,KOSPI,수익증권,보통주,2019-09-23,2022-12-29,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,5176619.0,047210,케이비자산운용
71902B96,KB 와이즈 스타 부동산 자 2 C-F,KOSPI,수익증권,보통주,2019-09-23,2022-12-29,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,98800000.0,047210,케이비자산운용
71903B96,KB 와이즈 스타 부동산 자 2 C-I,KOSPI,수익증권,보통주,2019-09-23,2022-12-29,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,8000000.0,047210,케이비자산운용
75701B93,현대유퍼스트부동산25호 A,KOSPI,수익증권,보통주,2019-05-31,2022-09-08,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,33565491.0,,현대자산운용
75702B93,현대유퍼스트부동산25호 C-i,KOSPI,수익증권,보통주,2019-05-31,2022-09-08,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,200000.0,,현대자산운용
71901B92,KB와이즈스타부동산1A,KOSPI,수익증권,보통주,2019-05-17,2022-08-31,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,70538605.0,047210,케이비자산운용
71903B92,KB와이즈스타부동산1C-F,KOSPI,수익증권,보통주,2019-05-17,2022-08-31,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,700000.0,047210,케이비자산운용
71902B92,KB와이즈스타부동산1C-퇴직,KOSPI,수익증권,보통주,2019-05-17,2022-08-31,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,3765000.0,047210,케이비자산운용
75901BB7,KIAMCO 뉴딜인프라,KOSPI,수익증권,보통주,2021-10-15,2022-08-30,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,10000000.0,397360,케이디비인프라
70101781,도쿄중소형오피스1,KOSPI,수익증권,보통주,2018-01-22,2022-08-17,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,26958739.0,047240,한국투자신탁운용
002270,롯데푸드,KOSPI,주권,보통주,1973-05-09,2022-07-20,해산 사유 발생,,,음식료·담배,5000.0,1209055.0,,
016385,KG스틸우,KOSPI,주권,구형우선주,1989-09-21,2022-07-15,종류주식 상장주식수 미달 2반기 계속,,,금속,5000.0,53385.0,016380,KG스틸
001529,동양3우B,KOSPI,주권,신형우선주,2007-08-03,2022-07-15,종류주식 상장주식수 미달 2반기 계속,,,비금속,500.0,89722.0,001520,동양
009275,신원우,KOSPI,주권,구형우선주,1989-03-07,2022-07-15,종류주식 상장주식수 미달 2반기 계속,,,섬유·의류,500.0,90740.0,009270,신원
0340221B,두산에너빌리티 2WR,KOSPI,신주인수권증권,보통주,2021-07-21,2022-07-04,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,4479391.0,034020,두산에너빌리티
74703B96,이지스리테일287호 Class A,KOSPI,수익증권,보통주,2019-08-30,2022-07-04,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,39495241.0,139150,이지스자산운용
74702B96,이지스리테일287호 Class C-I,KOSPI,수익증권,보통주,2019-08-30,2022-07-04,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,200000.0,139150,이지스자산운용
74704B96,이지스리테일287호 Class C-P,KOSPI,수익증권,보통주,2019-08-30,2022-07-04,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,2304001.0,139150,이지스자산운용
04267217,현대두산인프라코어 1WR,KOSPI,신주인수권증권,보통주,2017-08-22,2022-07-04,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,4873497.0,,
