ticker,market,industry
005250,KOSPI,회사 본부 및 경영 컨설팅 서비스업
004370,KOSPI,기타 식품 제조업
072710,KOSPI,기타 금융업
069140,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업"
040160,KOSDAQ,소프트웨어 개발 및 공급업
332290,KOSDAQ,"비료, 농약 및 살균, 살충제 제조업"
348340,KOSDAQ,특수 목적용 기계 제조업
380550,KOSDAQ,소프트웨어 개발 및 공급업
060260,KOSDAQ,플라스틱제품 제조업
463020,KOSDAQ,소프트웨어 개발 및 공급업
123840,KOSDAQ,기타 식품 제조업
012340,KOSDAQ,자동차 신품 부품 제조업
462310,KOSDAQ,봉제의복 제조업
270870,KOSDAQ,기타 식품 제조업
144960,KOSDAQ,특수 목적용 기계 제조업
085670,KOSDAQ,전자부품 제조업
417030,KOSDAQ,소프트웨어 개발 및 공급업
064260,KOSDAQ,소프트웨어 개발 및 공급업
340360,KOSDAQ,통신 및 방송 장비 제조업
039560,KOSDAQ,통신 및 방송 장비 제조업
208860,KOSDAQ,소프트웨어 개발 및 공급업
154040,KOSDAQ,전자부품 제조업
058730,KOSPI,"구조용 금속제품, 탱크 및 증기발생기 제조업"
030210,KOSPI,금융 지원 서비스업
023590,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
032190,KOSDAQ,기계장비 및 관련 물품 도매업
323350,KOSDAQ,특수 목적용 기계 제조업
068240,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
145210,KOSPI,특수 목적용 기계 제조업
290660,KOSDAQ,의료용 기기 제조업
483650,KOSPI,기타 화학제품 제조업
464580,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
019680,KOSPI,초등 교육기관
006370,KOSPI,종합 소매업
008060,KOSPI,기타 금융업
353200,KOSPI,전자부품 제조업
000490,KOSPI,특수 목적용 기계 제조업
178600,KONEX,기타 식품 제조업
020400,KOSDAQ,금속 주조업
008830,KOSDAQ,특수 목적용 기계 제조업
048470,KOSDAQ,기타 전문 도매업
004780,KOSDAQ,기타 금속 가공제품 제조업
005750,KOSPI,"내화, 비내화 요업제품 제조업"
017650,KOSDAQ,기타 종이 및 판지 제품 제조업
006570,KOSPI,기타 금속 가공제품 제조업
389260,KOSDAQ,건물 건설업
317850,KOSDAQ,특수 목적용 기계 제조업
290670,KOSDAQ,기타 전기장비 제조업
078140,KOSDAQ,의약품 제조업
065150,KOSDAQ,음·식료품 및 담배 도매업
001680,KOSPI,기타 식품 제조업
084690,KOSPI,기타 금융업
036480,KOSDAQ,의약품 제조업
128820,KOSPI,연료 소매업
117580,KOSPI,연료용 가스 제조 및 배관공급업
027830,KOSDAQ,신탁업 및 집합투자업
129920,KOSDAQ,특수 목적용 기계 제조업
016710,KOSPI,회사 본부 및 경영 컨설팅 서비스업
471050,KOSDAQ,금융 지원 서비스업
482690,KOSDAQ,금융 지원 서비스업
0134X0,KOSDAQ,금융 지원 서비스업
0030R0,KOSPI,신탁업 및 집합투자업
020180,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
003540,KOSPI,금융 지원 서비스업
045390,KOSDAQ,기타 전기장비 제조업
009190,KOSPI,1차 철강 제조업
108380,KOSDAQ,선박 및 보트 건조업
014160,KOSPI,"골판지, 종이 상자 및 종이용기 제조업"
047040,KOSPI,건물 건설업
003090,KOSPI,의약품 제조업
069620,KOSPI,의약품 제조업
007680,KOSDAQ,건물 건설업
000430,KOSPI,자동차 신품 부품 제조업
048910,KOSDAQ,기타 전문 도매업
005710,KOSDAQ,자동차 신품 부품 제조업
006340,KOSPI,절연선 및 케이블 제조업
003220,KOSPI,의약품 제조업
024890,KOSPI,플라스틱제품 제조업
120240,KOSDAQ,기초 화학물질 제조업
003310,KOSDAQ,동물용 사료 및 조제식품 제조업
114920,KONEX,1차 철강 제조업
078600,KOSDAQ,전자부품 제조업
393970,KOSDAQ,플라스틱제품 제조업
012800,KOSPI,1차 비철금속 제조업
015230,KOSPI,자동차 신품 부품 제조업
096350,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업"
140520,KOSDAQ,1차 철강 제조업
131220,KOSDAQ,기계장비 및 관련 물품 도매업
010170,KOSDAQ,절연선 및 케이블 제조업
054670,KOSDAQ,의약품 제조업
001070,KOSPI,직물직조 및 직물제품 제조업
